24,	27,	85,	95,	10
23,	26,	90,	100,	10
22,	26,	80,	100,	10
22,	26,	85,	100,	10
23,	28,	80,	95,	10
22,	26,	85,	100,	10
22,	26,	85,	100,	10
21,	26,	80,	100,	10
22,	25,	90,	100,	10
21,	25,	90,	100,	10
21,	25,	80,	100,	10
24,	26,	90,	100,	10
23,	25,	90,	100,	10
23,	25,	90,	95,	10
24,	29,	80,	100,	10
24,	28,	80,	100,	10
22,	25,	90,	95,	10
23,	28,	80,	95,	10
23,	25,	95,	95,	10
22,	25,	95,	100,	10
23,	28,	75,	100,	10
21,	26,	80,	95,	10
23,	25,	90,	100,	10
23,	30,	75,	100,	10
22,	26,	90,	100,	10
22,	25,	90,	100,	10
24,	32,	60,	100,	10
24,	30,	75,	100,	10
21,	31,	65,	95,	20
23,	31,	65,	100,	10
21,	30,	65,	100,	20
21,	30,	65,	100,	10
23,	26,	90,	100,	10
21,	31,	65,	95,	20
22,	29,	85,	95,	10
22,	26,	85,	100,	10
21,	30,	65,	100,	20
21,	30,	65,	100,	10
23,	26,	90,	100,	10
23,	31,	65,	100,	20
23,	31,	65,	100,	10
23,	27,	85,	100,	10
21,	30,	65,	100,	20
22,	29,	80,	95,	10
24,	31,	65,	100,	10
23,	29,	80,	100,	10
23,	27,	90,	100,	10
23,	29,	80,	100,	10
21,	29,	75,	100,	20
23,	31,	75,	100,	10
23,	28,	80,	100,	10
25,	32,	60,	90,	20
24,	32,	60,	100,	10
24,	27,	90,	100,	10
24,	29,	80,	100,	10
24,	31,	65,	100,	10
24,	28,	80,	100,	10
24,	32,	60,	100,	10
24,	30,	75,	100,	10
21,	31,	65,	95,	20
23,	31,	65,	100,	10
21,	30,	65,	100,	20
21,	30,	65,	100,	10
23,	26,	90,	100,	10
21,	31,	65,	95,	20
22,	29,	85,	95,	10
22,	26,	85,	100,	10
21,	30,	65,	100,	20
21,	30,	65,	100,	10
23,	26,	90,	100,	10
23,	31,	65,	100,	20
23,	31,	65,	100,	10
23,	27,	85,	100,	10
21,	30,	65,	100,	20
22,	29,	80,	95,	10
24,	31,	65,	100,	10
23,	29,	80,	100,	10
23,	27,	90,	100,	10
23,	29,	80,	100,	10
21,	29,	75,	100,	20
23,	31,	75,	100,	10
23,	28,	80,	100,	10
25,	32,	60,	90,	20
24,	32,	60,	100,	10
24,	27,	90,	100,	10
24,	29,	80,	100,	10
24,	31,	65,	100,	10
24,	28,	80,	100,	10
23,	25,	90,	100,	10
23,	25,	90,	95,	10
24,	29,	80,	100,	10
24,	28,	80,	100,	10
22,	25,	90,	95,	10
23,	28,	80,	95,	10
23,	25,	95,	95,	10
22,	25,	95,	100,	10
23,	28,	75,	100,	10
21,	26,	80,	95,	10
23,	25,	90,	100,	10
23,	30,	75,	100,	10
22,	26,	90,	100,	10
22,	25,	90,	100,	10
